x,y,z
218.824,165.075,940.319
217.627,163.161,946.571
214.487,158.106,946.571
213.769,162.203,939.602
215.683,163.878,930.509
2.2002,161.246,929.552
225.045,1.5667,937.448
224.088,1.5667,950.399
213.769,1.6002,964.278
211.615,164.118,965.713
215.922,165.553,941.994
220.259,168.903,916.122
222.413,166.989,913.011
222.652,164.357,927.877
2.2672,162.203,939.362
228.873,161.007,940.559
221.456,164.118,938.405
2.1664,168.903,937.448
218.345,167.946,938.645
221.934,158.106,933.859
226.959,155.952,920.698
228.156,158.824,910.858
227.199,1.6675,934.337
232.223,156.192,965.713
244.457,149.252,9.6356
245.414,158.824,957.099
223.131,169.382,9.5351
194.865,189.512,933.859
177.368,199.083,918.066
185.264,191.904,918.545
211.855,1.768,9.3362
224.088,150.927,928.834
248.764,139.442,891.955
283.011,125.294,935.534
299.791,119.551,995.654
2.8014,137.049,10.2023
231.745,1.7321,963.081
174.257,207.218,923.091
131.366,228.305,897.458
122.513,234.766,8.9339
151.256,219.212,9.2022
188.854,184.217,937.209
225.284,161.007,889.293
291.147,1.4016,918.784
3.5656,66.132,1.004.298
385.065,40.259,1.023.201
337.867,80.997,9.9685
217.358,195.972,942.952
88.026,272.632,896.501
43.699,287.228,859.831
74.836,2.6327,858.156
151.496,229.741,915.883
202.523,188.554,972.443
235.573,161.964,925.484
300.987,121.226,9.1349
386.501,3.332,975.793
428.166,-3.829,1.039.263
361.825,52.223,1.025.863
232.941,172.253,937.687
85.155,321.984,874.218
-9.721,3.3682,8.4691
2.668,2.901,847.628
147.906,224.716,898.894
229.591,171.057,954.706
282.772,137.288,997.328
325.424,85.304,1.025.624
352.253,48.873,973.879
333.799,73.071,919.981
259.053,149.013,897.219
1.733,211.526,905.594
122.513,249.153,9.2668
122.991,252.024,941.037
166.361,223.759,953.271
221.934,188.794,956.621
245.175,154.038,945.135
253.071,1.3343,918.784
261.207,139.202,912.533
258.335,153.559,934.098
242.034,163.639,948.485
225.284,172.014,944.896
208.505,175.603,936.491
1.9343,1.8326,938.405
187.896,1.9334,945.374
194.148,193.101,946.331
212.094,182.542,932.184
229.831,170.578,924.048
2.3988,162.921,9.2668
243.948,162.443,9.3697
239.641,162.203,945.853
231.027,162.443,940.319
225.763,163.639,9.3338
218.824,171.296,9.3338
2.0659,180.867,940.559
2.0348,186.371,941.516
211.855,182.542,936.491
224.566,170.339,931.945
231.027,165.075,932.662
231.984,167.946,936.491
2.2672,172.253,934.577
220.499,174.168,938.884
220.977,1.7321,939.602
221.216,172.971,937.209
220.499,172.253,940.559
220.499,172.732,9.4008
222.652,171.775,9.3338
222.174,173.928,934.816
223.849,176.082,9.4008
225.763,172.732,939.602
227.438,172.971,933.141
